,FCS_3plus_up,rCSI_3plus_up,hhs_3plus_up,lcs_3plus_up,hdds_3plus_up,phase3_plus_up,average3_up,overall_phase,yearmon,U-R,HFA-Number-Current,HFA-Percent-Current,HFA-Kcal-Perc-Current,HFA_total_Current
24,0.8,0.15,0.4,0.7,0.35,0.4,0.5,3.0,2022-03,Rural,273116.06,0.3227810614169465,0.5,0.1615
25,0.8,0.45,0.65,0.9,0.4,0.45,0.65,3.0,2022-03,Rural,252829.92,0.3808554465281175,0.75,0.28575
26,0.9,0.25,0.55,0.6,0.7,0.4,0.6,3.0,2022-03,Rural,348411,0.2772977449778055,0.75,0.20775000000000002
27,0.8,0.2,0.55,0.55,0.4,0.45,0.5,3.0,2022-03,Urban,106944.73999999999,0.42013436152017575,0.5,0.21
28,1.0,0.2,0.6,0.7,0.55,0.5,0.6,3.0,2022-03,Rural,264035.66,0.4024948700455274,0.75,0.3015
29,0.8,0.15,0.3,0.7,0.4,0.4,0.45,3.0,2022-03,Rural,161499.52,0.2796924002739862,0.5,0.14
30,0.9,0.15,0.5,0.35,0.4,0.45,0.45,3.0,2022-03,Rural,108971.37999999999,0.4466036117879681,0.75,0.33525
31,1.0,0.25,0.6,0.85,0.4,0.4,0.6,4.0,2022-03,Urban,168026.88,0.45928602690421333,0.75,0.34425
32,1.0,0.2,0.5,0.45,0.45,0.5,0.5,4.0,2022-03,Rural,103292.84000000001,0.4743434821926765,0.75,0.3555
33,0.75,0.35,0.5,0.75,0.5,0.55,0.55,4.0,2022-03,Rural,358723.1700052274,0.34797864540863566,0.5,0.174
34,0.95,0.35,0.75,0.95,0.65,0.5,0.75,3.0,2022-03,Rural,232589.84,0.2859218220667687,0.5,0.143
35,1.0,0.1,0.3,0.85,0.4,0.35,0.55,3.0,2022-03,Rural,69030.78,0.3056025882071035,0.5,0.153
36,0.65,0.1,0.2,0.3,0.3,0.35,0.3,3.0,2022-03,Rural,399300.72,0.40718571290526584,0.75,0.30524999999999997
37,0.9,0.35,0.65,0.75,0.55,0.35,0.65,3.0,2022-03,Rural,259949.47999999998,0.45425625811225884,0.75,0.3405
38,1.0,0.45,0.5,0.65,0.85,0.5,0.7,4.0,2022-03,Rural,392168,0.4750651834302959,0.75,0.35624999999999996
39,0.95,0.2,0.7,0.6,0.75,0.45,0.65,3.0,2022-03,Rural,309903.89999999997,0.23111180387946748,0.5,0.1155
40,0.65,0.2,0.35,0.4,0.75,0.5,0.45,3.0,2022-03,Rural,207072.59999999998,0.35721654880872533,0.75,0.26775
41,0.9,0.3,0.5,0.7,0.55,0.55,0.6,4.0,2022-03,Urban,50133.96,0.4470930221276574,0.75,0.33525
42,1.0,0.35,0.55,0.8,0.35,0.45,0.6,4.0,2022-03,Rural,334086.33999999997,0.3806438611214048,0.75,0.28575
43,0.95,0.2,0.4,0.8,0.6,0.5,0.6,4.0,2022-03,Rural,801536.12,0.42269756638107675,0.75,0.31725
44,0.85,0.15,0.45,0.75,0.35,0.5,0.5,3.0,2022-03,Rural,147122.22,0.28795586514320026,0.75,0.21599999999999997
45,0.95,0.1,0.65,0.85,0.3,0.5,0.55,4.0,2022-09,Rural,406364.69999999995,0.29000998564395025,0.75,0.21749999999999997
46,0.95,0.35,0.45,0.7,0.35,0.5,0.55,3.0,2022-09,Rural,175240.8,0.23986996984703174,0.75,0.18
47,0.65,0.05,0.4,0.4,,0.35,0.4,3.0,2022-09,Rural,165282.59999999998,0.15344701267655272,0.5,0.0765
48,0.7,0.05,0.4,0.4,,0.35,0.4,3.0,2022-09,Urban,41755.14,0.15371988812969767,0.5,0.077
49,0.9,0.2,0.25,0.4,0.85,0.4,0.5,3.0,2022-09,Rural,353580.77999999997,0.26075041542849986,0.75,0.19575
50,0.9,0.2,0.35,0.55,,0.4,0.5,3.0,2022-09,Urban,177287.03999999998,0.27268100809240536,0.5,0.1365
51,0.65,0.0,0.05,0.7,0.9,0.4,0.45,3.0,2022-09,Rural,151895.09999999998,0.23058064032396858,0.5,0.1155
52,0.55,0.0,0.05,0.45,0.75,0.4,0.35,3.0,2022-09,Rural,199119.06,0.2900104842448029,0.75,0.21749999999999997
