,2017,2018,2019,2020,2021,2022,2023
New Zealand,42275.793,42761.93,42287.718,41307.21,48792.618,47226.095,48071.747
Nicaragua,2147.856,2008.404,1940.115,1952.183,2163.083,2371.681,2599.258
Niger,517.589,570.983,554.124,568.606,593.802,592.241,630.8
Nigeria,1968.563,2153.094,2229.854,2083.162,2088.09,2202.456,1755.326
North Macedonia ,5462.379,6111.186,6073.003,5986.552,6698.161,6599.902,7672.009
Norway,75940.152,82605.966,76303.683,68275.277,90540.804,105825.926,99266.299
Oman,17731.849,19885.103,19069.311,17076.319,19479.401,23240.138,21265.625
Pakistan,1653.406,1698.034,1500.683,1376.512,1565.575,1650.279,1471.098
Palau,16383.831,16289.539,15876.323,14624.096,13165.721,13941.386,15113.302
Panama,15731.102,16181.217,16526.419,13342.722,15540.795,17409.626,18493.465
Papua New Guinea,2755.488,2861.448,2877.497,2715.968,2233.292,2621.832,2581.179
Paraguay,5608.156,5703.324,5302.239,4885.396,5433.251,5597.532,5842.959
Peru,6778.729,7053.558,7008.542,6150.898,6676.953,7158.773,7668.665
Philippines,3153.314,3279.519,3512.195,3325.836,3576.11,3623.593,3859.194
Poland,13819.834,15504.366,15694.594,15792.61,18008.152,18342.676,22393.03
Portugal,21482.834,23573.299,23333.317,22224.555,24703.713,24540.377,26878.872
Puerto Rico,31347.273,31549.375,32851.875,32608.045,33289.375,36123.366,37093.332
Qatar,59127.513,66421.617,63007.696,50962.499,65380.861,83520.998,81968.336
Romania,10717.263,12465.699,12928.148,13021.962,14874.18,15821.133,18413.471
Russian Federation,10723.996,11261.716,11555.269,10180.66,12617.864,15645.688,13005.71
Rwanda,783.521,797.104,836.016,803.372,853.124,1004.718,1031.692
Saint Kitts and Nevis,19103.03,19229.138,19581.712,15475.748,14879.693,16565.781,18158.491
Saint Lucia,11282.751,11585.525,11773.428,8496.098,10295.001,12703.961,13572.256
Saint Vincent and the Grenadines,7643.104,8001.555,8234.203,7851.359,7873.226,8538.685,9359.9
Samoa,4529.348,4478.955,4632.08,4379.239,4225.2,4142.543,4638.145
San Marino,45887.687,49477.281,48043.86,45640.984,54733.239,52447.43,58540.803
Saudi Arabia,23081.196,28036.026,27892.86,23271.412,28215.155,34441.059,32586.172
Senegal,1361.221,1458.73,1436.224,1465.244,1603.346,1569.546,1714.653
