,yearmon,fatalities,country_name
64,2022-05,168,Burundi
65,2022-06,192,Burundi
66,2022-07,216,Burundi
67,2022-08,132,Burundi
68,2022-09,276,Burundi
69,2022-10,480,Burundi
70,2022-11,252,Burundi
71,2022-12,384,Burundi
72,2023-01,228,Burundi
73,2023-02,132,Burundi
74,2023-03,132,Burundi
75,2023-04,108,Burundi
76,2023-05,156,Burundi
77,2023-06,72,Burundi
78,2023-07,204,Burundi
79,2023-08,600,Burundi
80,2023-09,60,Burundi
81,2023-10,36,Burundi
82,2023-11,84,Burundi
83,2023-12,588,Burundi
0,2017-01,288,Central_African_Republic
1,2017-02,912,Central_African_Republic
2,2017-03,2832,Central_African_Republic
3,2017-04,732,Central_African_Republic
4,2017-05,5304,Central_African_Republic
5,2017-06,2088,Central_African_Republic
6,2017-07,1692,Central_African_Republic
7,2017-08,2520,Central_African_Republic
8,2017-09,768,Central_African_Republic
9,2017-10,2292,Central_African_Republic
10,2017-11,1020,Central_African_Republic
11,2017-12,1536,Central_African_Republic
12,2018-01,2820,Central_African_Republic
13,2018-02,612,Central_African_Republic
14,2018-03,1020,Central_African_Republic
15,2018-04,1680,Central_African_Republic
16,2018-05,2400,Central_African_Republic
17,2018-06,1308,Central_African_Republic
18,2018-07,648,Central_African_Republic
19,2018-08,744,Central_African_Republic
20,2018-09,336,Central_African_Republic
21,2018-10,492,Central_African_Republic
22,2018-11,1668,Central_African_Republic
23,2018-12,324,Central_African_Republic
24,2019-01,996,Central_African_Republic
25,2019-02,336,Central_African_Republic
26,2019-03,312,Central_African_Republic
27,2019-04,1752,Central_African_Republic
28,2019-05,792,Central_African_Republic
29,2019-06,12,Central_African_Republic
30,2019-07,192,Central_African_Republic
31,2019-08,180,Central_African_Republic
32,2019-09,864,Central_African_Republic
33,2019-10,324,Central_African_Republic
34,2019-11,240,Central_African_Republic
35,2019-12,1152,Central_African_Republic
36,2020-01,648,Central_African_Republic
37,2020-02,600,Central_African_Republic
38,2020-03,924,Central_African_Republic
39,2020-04,336,Central_African_Republic
40,2020-05,324,Central_African_Republic
41,2020-06,168,Central_African_Republic
42,2020-07,564,Central_African_Republic
43,2020-08,96,Central_African_Republic
44,2020-09,12,Central_African_Republic
45,2020-10,168,Central_African_Republic
46,2020-11,312,Central_African_Republic
47,2020-12,1236,Central_African_Republic
48,2021-01,1896,Central_African_Republic
49,2021-02,636,Central_African_Republic
50,2021-03,504,Central_African_Republic
51,2021-04,1200,Central_African_Republic
52,2021-05,960,Central_African_Republic
53,2021-06,1476,Central_African_Republic
54,2021-07,1536,Central_African_Republic
55,2021-08,1632,Central_African_Republic
56,2021-09,2856,Central_African_Republic
57,2021-10,2196,Central_African_Republic
58,2021-11,4572,Central_African_Republic
59,2021-12,1104,Central_African_Republic
60,2022-01,1752,Central_African_Republic
61,2022-02,1392,Central_African_Republic
62,2022-03,1548,Central_African_Republic
63,2022-04,1068,Central_African_Republic
64,2022-05,1044,Central_African_Republic
65,2022-06,720,Central_African_Republic
66,2022-07,324,Central_African_Republic
67,2022-08,300,Central_African_Republic
68,2022-09,144,Central_African_Republic
69,2022-10,672,Central_African_Republic
70,2022-11,264,Central_African_Republic
71,2022-12,1248,Central_African_Republic
72,2023-01,408,Central_African_Republic
73,2023-02,600,Central_African_Republic
74,2023-03,540,Central_African_Republic
75,2023-04,348,Central_African_Republic
76,2023-05,768,Central_African_Republic
77,2023-06,984,Central_African_Republic
78,2023-07,240,Central_African_Republic
79,2023-08,804,Central_African_Republic
80,2023-09,276,Central_African_Republic
81,2023-10,804,Central_African_Republic
82,2023-11,336,Central_African_Republic
83,2023-12,888,Central_African_Republic
0,2017-01,1680,Congo_DRC
1,2017-02,3336,Congo_DRC
2,2017-03,6168,Congo_DRC
3,2017-04,7272,Congo_DRC
4,2017-05,2004,Congo_DRC
5,2017-06,2832,Congo_DRC
6,2017-07,6084,Congo_DRC
7,2017-08,1644,Congo_DRC
8,2017-09,1164,Congo_DRC
9,2017-10,1872,Congo_DRC
10,2017-11,720,Congo_DRC
11,2017-12,3756,Congo_DRC
12,2018-01,2532,Congo_DRC
13,2018-02,4056,Congo_DRC
14,2018-03,3372,Congo_DRC
15,2018-04,2052,Congo_DRC
16,2018-05,2904,Congo_DRC
17,2018-06,2088,Congo_DRC
18,2018-07,2340,Congo_DRC
19,2018-08,2016,Congo_DRC
20,2018-09,1968,Congo_DRC
21,2018-10,2340,Congo_DRC
22,2018-11,3564,Congo_DRC
23,2018-12,9072,Congo_DRC
24,2019-01,4008,Congo_DRC
25,2019-02,3984,Congo_DRC
26,2019-03,2184,Congo_DRC
27,2019-04,2016,Congo_DRC
28,2019-05,4008,Congo_DRC
29,2019-06,8244,Congo_DRC
30,2019-07,4452,Congo_DRC
31,2019-08,2664,Congo_DRC
32,2019-09,2124,Congo_DRC
33,2019-10,3540,Congo_DRC
34,2019-11,4728,Congo_DRC
35,2019-12,3660,Congo_DRC
